Device,Telco,Rate plan,RRP,Device monthly,Plan monthly,Gross monthly,Total cost of ownership,Months,Select plan Range,summary RM58 plan,,,,summary RM88 plan,,
iPhone 16 Pro 1TB,Telco M,Telco M Postpaid 109,"7,499",189,109,298,"10,728",36,RM101 - RM149 plan,Save up to,"RM1,080",with Yes 5G,,,,
iPhone 16 Pro 1TB,Telco CD,Postpaid 5G 140,"7,499",175,130,305,"10,980",36,RM101 - RM149 plan,Save up to,"RM1,332",with Yes 5G,,,,
iPhone 16 Pro 1TB,Telco M,Telco M Postpaid 139,"7,499",175,139,314,"11,304",36,RM101 - RM149 plan,Save up to,"RM1,656",with Yes 5G,,,,
iPhone 16 Pro 1TB,Yes 5G,Infinite+ Ultra 178,"7,499",105,178,283,"10,188",36,> RM150 plan,,,,,,,
iPhone 16 Pro 1TB,Telco CD,Postpaid 5G 160,"7,499",172,150,322,"11,592",36,> RM150 plan,Save up to,"RM1,404",with Yes 5G,,,,
iPhone 16 Pro 1TB,Telco M,Telco M Postpaid 169,"7,499",172,169,341,"12,276",36,> RM150 plan,Save up to,"RM2,088",with Yes 5G,,,,
iPhone 16 Pro 1TB,Telco M,Telco M Postpaid 199,"7,499",169,199,368,"13,248",36,> RM150 plan,Save up to,"RM3,060",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Yes 5G,Infinite+ Basic 58,"5,999",149,58,207,"7,452",36,< RM100 plan,,,,,,,
iPhone 16 Pro Max 256GB,Yes 5G,Infinite+ Standard 88,"5,999",131,88,219,"7,884",36,< RM100 plan,,,,,,,
iPhone 16 Pro Max 256GB,Telco U,U Postpaid 68,"5,999",151,68,219,"7,884",36,< RM100 plan,Save up to,RM432,with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco U,U Postpaid 98,"5,999",141,98,239,"8,604",36,< RM100 plan,Save up to,"RM1,152",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco CD,Postpaid 5G 100,"5,999",151,90,241,"8,676",36,< RM100 plan,Save up to,"RM1,224",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Yes 5G,Infinite+ Premium 118,"5,999",111,118,229,"8,244",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Pro Max 256GB,Telco CD,Postpaid 5G 120,"5,999",139,110,249,"8,964",36,RM101 - RM149 plan,Save up to,RM720,with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco M,Telco M Postpaid 109,"5,999",151,109,260,"9,360",36,RM101 - RM149 plan,Save up to,"RM1,116",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco CD,Postpaid 5G 140,"5,999",137,130,267,"9,612",36,RM101 - RM149 plan,Save up to,"RM1,368",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco M,Telco M Postpaid 139,"5,999",137,139,276,"9,936",36,RM101 - RM149 plan,Save up to,"RM1,692",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Yes 5G,Infinite+ Ultra 178,"5,999",67,178,245,"8,820",36,> RM150 plan,,,,,,,
iPhone 16 Pro Max 256GB,Telco CD,Postpaid 5G 160,"5,999",134,150,284,"10,224",36,> RM150 plan,Save up to,"RM1,404",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco M,Telco M Postpaid 169,"5,999",134,169,303,"10,908",36,> RM150 plan,Save up to,"RM2,088",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Telco M,Telco M Postpaid 199,"5,999",131,199,330,"11,880",36,> RM150 plan,Save up to,"RM3,060",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Yes 5G,Infinite+ Basic 58,"6,999",174,58,232,"8,352",36,< RM100 plan,,,,,,,
iPhone 16 Pro Max 512GB,Yes 5G,Infinite+ Standard 88,"6,999",156,88,244,"8,784",36,< RM100 plan,,,,,,,
iPhone 16 Pro Max 512GB,Telco U,U Postpaid 68,"6,999",176,68,244,"8,784",36,< RM100 plan,Save up to,RM432,with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco U,U Postpaid 98,"6,999",166,98,264,"9,504",36,< RM100 plan,Save up to,"RM1,152",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco CD,Postpaid 5G 100,"6,999",176,90,266,"9,576",36,< RM100 plan,Save up to,"RM1,224",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Yes 5G,Infinite+ Premium 118,"6,999",137,118,255,"9,180",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Pro Max 512GB,Telco CD,Postpaid 5G 120,"6,999",164,110,274,"9,864",36,RM101 - RM149 plan,Save up to,RM684,with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco M,Telco M Postpaid 109,"6,999",176,109,285,"10,260",36,RM101 - RM149 plan,Save up to,"RM1,080",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco CD,Postpaid 5G 140,"6,999",162,130,292,"10,512",36,RM101 - RM149 plan,Save up to,"RM1,332",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco M,Telco M Postpaid 139,"6,999",162,139,301,"10,836",36,RM101 - RM149 plan,Save up to,"RM1,656",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Yes 5G,Infinite+ Ultra 178,"6,999",93,178,271,"9,756",36,> RM150 plan,,,,,,,
iPhone 16 Pro Max 512GB,Telco CD,Postpaid 5G 160,"6,999",160,150,310,"11,160",36,> RM150 plan,Save up to,"RM1,404",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco M,Telco M Postpaid 169,"6,999",159,169,328,"11,808",36,> RM150 plan,Save up to,"RM2,052",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Telco M,Telco M Postpaid 199,"6,999",156,199,355,"12,780",36,> RM150 plan,Save up to,"RM3,024",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Yes 5G,Infinite+ Basic 58,"7,999",199,58,257,"9,252",36,< RM100 plan,,,,,,,
iPhone 16 Pro Max 1TB,Yes 5G,Infinite+ Standard 88,"7,999",182,88,270,"9,720",36,< RM100 plan,,,,,,,
iPhone 16 Pro Max 1TB,Telco U,U Postpaid 68,"7,999",202,68,270,"9,720",36,< RM100 plan,Save up to,RM468,with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Telco U,U Postpaid 98,"7,999",192,98,290,"10,440",36,< RM100 plan,Save up to,"RM1,188",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Telco CD,Postpaid 5G 100,"7,999",202,90,292,"10,512",36,< RM100 plan,Save up to,"RM1,260",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Yes 5G,Infinite+ Premium 118,"7,999",162,118,280,"10,080",36,RM101 - RM149 plan,,,,,,,
iPhone 16 Pro Max 1TB,Telco CD,Postpaid 5G 120,"7,999",189,110,299,"10,764",36,RM101 - RM149 plan,Save up to,RM684,with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Telco M,Telco M Postpaid 109,"7,999",202,109,311,"11,196",36,RM101 - RM149 plan,Save up to,"RM1,116",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Telco CD,Postpaid 5G 140,"7,999",187,130,317,"11,412",36,RM101 - RM149 plan,Save up to,"RM1,332",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Telco M,Telco M Postpaid 139,"7,999",188,139,327,"11,772",36,RM101 - RM149 plan,Save up to,"RM1,692",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Yes 5G,Infinite+ Ultra 178,"7,999",118,178,296,"10,656",36,> RM150 plan,,,,,,,
iPhone 16 Pro Max 1TB,Telco CD,Postpaid 5G 160,"7,999",185,150,335,"12,060",36,> RM150 plan,Save up to,"RM1,404",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Telco M,Telco M Postpaid 169,"7,999",185,169,354,"12,744",36,> RM150 plan,Save up to,"RM2,088",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Telco M,Telco M Postpaid 199,"7,999",182,199,381,"13,716",36,> RM150 plan,Save up to,"RM3,060",with Yes 5G,,,,
iPhone 16 128GB,Yes 5G,Infinite+ Basic 58,"3,999",149,58,207,"4,968",24,< RM100 plan,,,,,,,
iPhone 16 128GB,Yes 5G,Infinite+ Standard 88,"3,999",131,88,219,"5,256",24,< RM100 plan,,,,,,,
iPhone 16 128GB,Telco U,U Postpaid 68,"3,999",151,68,219,"5,256",24,< RM100 plan,Save up to,RM288,with Yes 5G,,,,
iPhone 16 128GB,Telco U,U Postpaid 98,"3,999",141,98,239,"5,736",24,< RM100 plan,Save up to,RM768,with Yes 5G,,,,
iPhone 16 128GB,Telco CD,Postpaid 5G 100,"3,999",151,90,241,"5,784",24,< RM100 plan,Save up to,RM816,with Yes 5G,,,,
iPhone 16 128GB,Yes 5G,Infinite+ Premium 118,"3,999",111,118,229,"5,496",24,RM101 - RM149 plan,,,,,,,
iPhone 16 128GB,Telco CD,Postpaid 5G 120,"3,999",139,110,249,"5,976",24,RM101 - RM149 plan,Save up to,RM480,with Yes 5G,,,,
iPhone 16 128GB,Telco M,Telco M Postpaid 109,"3,999",151,109,260,"6,240",24,RM101 - RM149 plan,Save up to,RM744,with Yes 5G,,,,
iPhone 16 128GB,Telco CD,Postpaid 5G 140,"3,999",137,130,267,"6,408",24,RM101 - RM149 plan,Save up to,RM912,with Yes 5G,,,,
iPhone 16 128GB,Telco M,Telco M Postpaid 139,"3,999",137,139,276,"6,624",24,RM101 - RM149 plan,Save up to,"RM1,128",with Yes 5G,,,,
iPhone 16 128GB,Yes 5G,Infinite+ Ultra 178,"3,999",67,178,245,"5,880",24,> RM150 plan,,,,,,,
iPhone 16 128GB,Telco CD,Postpaid 5G 160,"3,999",134,150,284,"6,816",24,> RM150 plan,Save up to,RM936,with Yes 5G,,,,
iPhone 16 128GB,Telco M,Telco M Postpaid 169,"3,999",134,169,303,"7,272",24,> RM150 plan,Save up to,"RM1,392",with Yes 5G,,,,
iPhone 16 128GB,Telco M,Telco M Postpaid 199,"3,999",131,199,330,"7,920",24,> RM150 plan,Save up to,"RM2,040",with Yes 5G,,,,
iPhone 16 256GB,Yes 5G,Infinite+ Basic 58,"4,499",168,58,226,"5,424",24,< RM100 plan,,,,,,,
iPhone 16 256GB,Yes 5G,Infinite+ Standard 88,"4,499",150,88,238,"5,712",24,< RM100 plan,,,,,,,
iPhone 16 256GB,Telco U,U Postpaid 68,"4,499",170,68,238,"5,712",24,< RM100 plan,Save up to,RM288,with Yes 5G,,,,
iPhone 16 256GB,Telco U,U Postpaid 98,"4,499",160,98,258,"6,192",24,< RM100 plan,Save up to,RM768,with Yes 5G,,,,
iPhone 16 256GB,Telco CD,Postpaid 5G 100,"4,499",170,90,260,"6,240",24,< RM100 plan,Save up to,RM816,with Yes 5G,,,,
iPhone 16 256GB,Yes 5G,Infinite+ Premium 118,"4,499",130,118,248,"5,952",24,RM101 - RM149 plan,,,,,,,
iPhone 16 256GB,Telco CD,Postpaid 5G 120,"4,499",158,110,268,"6,432",24,RM101 - RM149 plan,Save up to,RM480,with Yes 5G,,,,
iPhone 16 256GB,Telco M,Telco M Postpaid 109,"4,499",170,109,279,"6,696",24,RM101 - RM149 plan,Save up to,RM744,with Yes 5G,,,,
iPhone 16 256GB,Telco CD,Postpaid 5G 140,"4,499",156,130,286,"6,864",24,RM101 - RM149 plan,Save up to,RM912,with Yes 5G,,,,
iPhone 16 256GB,Telco M,Telco M Postpaid 139,"4,499",156,139,295,"7,080",24,RM101 - RM149 plan,Save up to,"RM1,128",with Yes 5G,,,,
iPhone 16 256GB,Yes 5G,Infinite+ Ultra 178,"4,499",86,178,264,"6,336",24,> RM150 plan,,,,,,,
iPhone 16 256GB,Telco CD,Postpaid 5G 160,"4,499",153,150,303,"7,272",24,> RM150 plan,Save up to,RM936,with Yes 5G,,,,
iPhone 16 256GB,Telco M,Telco M Postpaid 169,"4,499",153,169,322,"7,728",24,> RM150 plan,Save up to,"RM1,392",with Yes 5G,,,,
iPhone 16 256GB,Telco M,Telco M Postpaid 199,"4,499",150,199,349,"8,376",24,> RM150 plan,Save up to,"RM2,040",with Yes 5G,,,,
iPhone 16 512GB,Yes 5G,Infinite+ Basic 58,"5,499",205,58,263,"6,312",24,< RM100 plan,,,,,,,
iPhone 16 512GB,Yes 5G,Infinite+ Standard 88,"5,499",188,88,276,"6,624",24,< RM100 plan,,,,,,,
iPhone 16 512GB,Telco U,U Postpaid 68,"5,499",208,68,276,"6,624",24,< RM100 plan,Save up to,RM312,with Yes 5G,,,,
iPhone 16 512GB,Telco U,U Postpaid 98,"5,499",198,98,296,"7,104",24,< RM100 plan,Save up to,RM792,with Yes 5G,,,,
iPhone 16 512GB,Telco CD,Postpaid 5G 100,"5,499",208,90,298,"7,152",24,< RM100 plan,Save up to,RM840,with Yes 5G,,,,
iPhone 16 512GB,Yes 5G,Infinite+ Premium 118,"5,499",169,118,287,"6,888",24,RM101 - RM149 plan,,,,,,,
iPhone 16 512GB,Telco CD,Postpaid 5G 120,"5,499",196,110,306,"7,344",24,RM101 - RM149 plan,Save up to,RM456,with Yes 5G,,,,
iPhone 16 512GB,Telco M,Telco M Postpaid 109,"5,499",208,109,317,"7,608",24,RM101 - RM149 plan,Save up to,RM720,with Yes 5G,,,,
iPhone 16 512GB,Telco CD,Postpaid 5G 140,"5,499",193,130,323,"7,752",24,RM101 - RM149 plan,Save up to,RM864,with Yes 5G,,,,
iPhone 16 512GB,Telco M,Telco M Postpaid 139,"5,499",194,139,333,"7,992",24,RM101 - RM149 plan,Save up to,"RM1,104",with Yes 5G,,,,
iPhone 16 512GB,Yes 5G,Infinite+ Ultra 178,"5,499",125,178,303,"7,272",24,> RM150 plan,,,,,,,
iPhone 16 512GB,Telco CD,Postpaid 5G 160,"5,499",191,150,341,"8,184",24,> RM150 plan,Save up to,RM912,with Yes 5G,,,,
iPhone 16 512GB,Telco M,Telco M Postpaid 169,"5,499",191,169,360,"8,640",24,> RM150 plan,Save up to,"RM1,368",with Yes 5G,,,,
iPhone 16 512GB,Telco M,Telco M Postpaid 199,"5,499",188,199,387,"9,288",24,> RM150 plan,Save up to,"RM2,016",with Yes 5G,,,,
iPhone 16 Plus 128GB,Yes 5G,Infinite+ Basic 58,"4,499",168,58,226,"5,424",24,< RM100 plan,,,,,,,
iPhone 16 Plus 128GB,Yes 5G,Infinite+ Standard 88,"4,499",150,88,238,"5,712",24,< RM100 plan,,,,,,,
iPhone 16 Plus 128GB,Telco U,U Postpaid 68,"4,499",170,68,238,"5,712",24,< RM100 plan,Save up to,RM288,with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco U,U Postpaid 98,"4,499",160,98,258,"6,192",24,< RM100 plan,Save up to,RM768,with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco CD,Postpaid 5G 100,"4,499",170,90,260,"6,240",24,< RM100 plan,Save up to,RM816,with Yes 5G,,,,
iPhone 16 Plus 128GB,Yes 5G,Infinite+ Premium 118,"4,499",130,118,248,"5,952",24,RM101 - RM149 plan,,,,,,,
iPhone 16 Plus 128GB,Telco CD,Postpaid 5G 120,"4,499",158,110,268,"6,432",24,RM101 - RM149 plan,Save up to,RM480,with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco M,Telco M Postpaid 109,"4,499",170,109,279,"6,696",24,RM101 - RM149 plan,Save up to,RM744,with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco CD,Postpaid 5G 140,"4,499",156,130,286,"6,864",24,RM101 - RM149 plan,Save up to,RM912,with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco M,Telco M Postpaid 139,"4,499",156,139,295,"7,080",24,RM101 - RM149 plan,Save up to,"RM1,128",with Yes 5G,,,,
iPhone 16 Plus 128GB,Yes 5G,Infinite+ Ultra 178,"4,499",86,178,264,"6,336",24,> RM150 plan,,,,,,,
iPhone 16 Plus 128GB,Telco CD,Postpaid 5G 160,"4,499",153,150,303,"7,272",24,> RM150 plan,Save up to,RM936,with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco M,Telco M Postpaid 169,"4,499",153,169,322,"7,728",24,> RM150 plan,Save up to,"RM1,392",with Yes 5G,,,,
iPhone 16 Plus 128GB,Telco M,Telco M Postpaid 199,"4,499",150,199,349,"8,376",24,> RM150 plan,Save up to,"RM2,040",with Yes 5G,,,,
iPhone 16 Plus 256GB,Yes 5G,Infinite+ Basic 58,"4,999",186,58,244,"5,856",24,< RM100 plan,,,,,,,
iPhone 16 Plus 256GB,Yes 5G,Infinite+ Standard 88,"4,999",169,88,257,"6,168",24,< RM100 plan,,,,,,,
iPhone 16 Plus 256GB,Telco U,U Postpaid 68,"4,999",189,68,257,"6,168",24,< RM100 plan,Save up to,RM312,with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco U,U Postpaid 98,"4,999",179,98,277,"6,648",24,< RM100 plan,Save up to,RM792,with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco CD,Postpaid 5G 100,"4,999",189,90,279,"6,696",24,< RM100 plan,Save up to,RM840,with Yes 5G,,,,
iPhone 16 Plus 256GB,Yes 5G,Infinite+ Premium 118,"4,999",150,118,268,"6,432",24,RM101 - RM149 plan,,,,,,,
iPhone 16 Plus 256GB,Telco CD,Postpaid 5G 120,"4,999",177,110,287,"6,888",24,RM101 - RM149 plan,Save up to,RM456,with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco M,Telco M Postpaid 109,"4,999",189,109,298,"7,152",24,RM101 - RM149 plan,Save up to,RM720,with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco CD,Postpaid 5G 140,"4,999",175,130,305,"7,320",24,RM101 - RM149 plan,Save up to,RM888,with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco M,Telco M Postpaid 139,"4,999",175,139,314,"7,536",24,RM101 - RM149 plan,Save up to,"RM1,104",with Yes 5G,,,,
iPhone 16 Plus 256GB,Yes 5G,Infinite+ Ultra 178,"4,999",105,178,283,"6,792",24,> RM150 plan,,,,,,,
iPhone 16 Plus 256GB,Telco CD,Postpaid 5G 160,"4,999",172,150,322,"7,728",24,> RM150 plan,Save up to,RM936,with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco M,Telco M Postpaid 169,"4,999",172,169,341,"8,184",24,> RM150 plan,Save up to,"RM1,392",with Yes 5G,,,,
iPhone 16 Plus 256GB,Telco M,Telco M Postpaid 199,"4,999",169,199,368,"8,832",24,> RM150 plan,Save up to,"RM2,040",with Yes 5G,,,,
iPhone 16 Plus 512GB,Yes 5G,Infinite+ Basic 58,"5,999",224,58,282,"6,768",24,< RM100 plan,,,,,,,
iPhone 16 Plus 512GB,Yes 5G,Infinite+ Standard 88,"5,999",207,88,295,"7,080",24,< RM100 plan,,,,,,,
iPhone 16 Plus 512GB,Telco U,U Postpaid 68,"5,999",227,68,295,"7,080",24,< RM100 plan,Save up to,RM312,with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco U,U Postpaid 98,"5,999",217,98,315,"7,560",24,< RM100 plan,Save up to,RM792,with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco CD,Postpaid 5G 100,"5,999",227,90,317,"7,608",24,< RM100 plan,Save up to,RM840,with Yes 5G,,,,
iPhone 16 Plus 512GB,Yes 5G,Infinite+ Premium 118,"5,999",188,118,306,"7,344",24,RM101 - RM149 plan,,,,,,,
iPhone 16 Plus 512GB,Telco CD,Postpaid 5G 120,"5,999",215,110,325,"7,800",24,RM101 - RM149 plan,Save up to,RM456,with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco M,Telco M Postpaid 109,"5,999",227,109,336,"8,064",24,RM101 - RM149 plan,Save up to,RM720,with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco CD,Postpaid 5G 140,"5,999",212,130,342,"8,208",24,RM101 - RM149 plan,Save up to,RM864,with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco M,Telco M Postpaid 139,"5,999",213,139,352,"8,448",24,RM101 - RM149 plan,Save up to,"RM1,104",with Yes 5G,,,,
iPhone 16 Plus 512GB,Yes 5G,Infinite+ Ultra 178,"5,999",144,178,322,"7,728",24,> RM150 plan,,,,,,,
iPhone 16 Plus 512GB,Telco CD,Postpaid 5G 160,"5,999",210,150,360,"8,640",24,> RM150 plan,Save up to,RM912,with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco M,Telco M Postpaid 169,"5,999",210,169,379,"9,096",24,> RM150 plan,Save up to,"RM1,368",with Yes 5G,,,,
iPhone 16 Plus 512GB,Telco M,Telco M Postpaid 199,"5,999",207,199,406,"9,744",24,> RM150 plan,Save up to,"RM2,016",with Yes 5G,,,,
iPhone 16 Pro 128GB,Yes 5G,Infinite+ Basic 58,"4,999",186,58,244,"5,856",24,< RM100 plan,,,,,,,
iPhone 16 Pro 128GB,Yes 5G,Infinite+ Standard 88,"4,999",169,88,257,"6,168",24,< RM100 plan,,,,,,,
