Device,Telco,Rate plan,RRP,Device monthly,Plan monthly,Gross monthly,Total cost of ownership,Months,Select plan Range,summary RM58 plan,,,,summary RM88 plan,,
iPhone 16 512GB,Retailer M,-,"5,499","5,499",180,,"5,499",No Contract,> RM150 plan,Save up to,"RM3,500",with Yes 5G,,,,
iPhone 16 Plus 128GB,Yes 5G,Infinite Cashback Basic 58,"4,499","4,499",58,490,"4,009",No Contract,> RM150 plan,,,,,,,
iPhone 16 Plus 128GB,Yes 5G,Infinite Cashback Standard 88,"4,499","4,499",88,"1,120","3,379",No Contract,> RM150 plan,,,,,,,
iPhone 16 Plus 128GB,Retailer A,-,"4,499","4,499",99,,"4,499",No Contract,> RM150 plan,Save up to,"RM1,120",with Yes 5G,,,,
iPhone 16 Plus 128GB,Retailer S,-,"4,499","4,499",99,,"4,499",No Contract,> RM150 plan,Save up to,"RM1,120",with Yes 5G,,,,
iPhone 16 Plus 128GB,Retailer M,-,"4,499","4,499",99,,"4,499",No Contract,> RM150 plan,Save up to,"RM1,120",with Yes 5G,,,,
iPhone 16 Plus 128GB,Yes 5G,Infinite Cashback Premium 118,"4,499","4,499",118,"1,855","2,644",No Contract,> RM150 plan,,,,,,,
iPhone 16 Plus 128GB,Retailer A,-,"4,499","4,499",120,,"4,499",No Contract,> RM150 plan,Save up to,"RM1,855",with Yes 5G,,,,
iPhone 16 Plus 128GB,Retailer S,-,"4,499","4,499",120,,"4,499",No Contract,> RM150 plan,Save up to,"RM1,855",with Yes 5G,,,,
iPhone 16 Plus 128GB,Retailer M,-,"4,499","4,499",120,,"4,499",No Contract,> RM150 plan,Save up to,"RM1,855",with Yes 5G,,,,
iPhone 16 Plus 128GB,Yes 5G,Infinite Cashback Ultra 178,"4,499","4,499",178,"3,430","1,069",No Contract,> RM150 plan,,,,,,,
iPhone 16 Plus 128GB,Retailer A,-,"4,499","4,499",180,,"4,499",No Contract,> RM150 plan,Save up to,"RM3,430",with Yes 5G,,,,
iPhone 16 Plus 128GB,Retailer S,-,"4,499","4,499",180,,"4,499",No Contract,> RM150 plan,Save up to,"RM3,430",with Yes 5G,,,,
iPhone 16 Plus 128GB,Retailer M,-,"4,499","4,499",180,,"4,499",No Contract,> RM150 plan,Save up to,"RM3,430",with Yes 5G,,,,
iPhone 16 Plus 256GB,Yes 5G,Infinite Cashback Basic 58,"4,999","4,999",58,560,"4,439",No Contract,> RM150 plan,,,,,,,
iPhone 16 Plus 256GB,Yes 5G,Infinite Cashback Standard 88,"4,999","4,999",88,"1,190","3,809",No Contract,> RM150 plan,,,,,,,
iPhone 16 Plus 256GB,Retailer A,-,"4,999","4,999",99,,"4,999",No Contract,> RM150 plan,Save up to,"RM1,190",with Yes 5G,,,,
iPhone 16 Plus 256GB,Retailer S,-,"4,999","4,999",99,,"4,999",No Contract,> RM150 plan,Save up to,"RM1,190",with Yes 5G,,,,
iPhone 16 Plus 256GB,Retailer M,-,"4,999","4,999",99,,"4,999",No Contract,> RM150 plan,Save up to,"RM1,190",with Yes 5G,,,,
iPhone 16 Plus 256GB,Yes 5G,Infinite Cashback Premium 118,"4,999","4,999",118,"1,890","3,109",No Contract,> RM150 plan,,,,,,,
iPhone 16 Plus 256GB,Retailer A,-,"4,999","4,999",120,,"4,999",No Contract,> RM150 plan,Save up to,"RM1,890",with Yes 5G,,,,
iPhone 16 Plus 256GB,Retailer S,-,"4,999","4,999",120,,"4,999",No Contract,> RM150 plan,Save up to,"RM1,890",with Yes 5G,,,,
iPhone 16 Plus 256GB,Retailer M,-,"4,999","4,999",120,,"4,999",No Contract,> RM150 plan,Save up to,"RM1,890",with Yes 5G,,,,
iPhone 16 Plus 256GB,Yes 5G,Infinite Cashback Ultra 178,"4,999","4,999",178,"3,465","1,534",No Contract,> RM150 plan,,,,,,,
iPhone 16 Plus 256GB,Retailer A,-,"4,999","4,999",180,,"4,999",No Contract,> RM150 plan,Save up to,"RM3,465",with Yes 5G,,,,
iPhone 16 Plus 256GB,Retailer S,-,"4,999","4,999",180,,"4,999",No Contract,> RM150 plan,Save up to,"RM3,465",with Yes 5G,,,,
iPhone 16 Plus 256GB,Retailer M,-,"4,999","4,999",180,,"4,999",No Contract,> RM150 plan,Save up to,"RM3,465",with Yes 5G,,,,
iPhone 16 Plus 512GB,Yes 5G,Infinite Cashback Basic 58,"5,999","5,999",58,630,"5,369",No Contract,> RM150 plan,,,,,,,
iPhone 16 Plus 512GB,Yes 5G,Infinite Cashback Standard 88,"5,999","5,999",88,"1,260","4,739",No Contract,> RM150 plan,,,,,,,
iPhone 16 Plus 512GB,Retailer A,-,"5,999","5,999",99,,"5,999",No Contract,> RM150 plan,Save up to,"RM1,260",with Yes 5G,,,,
iPhone 16 Plus 512GB,Retailer S,-,"5,999","5,999",99,,"5,999",No Contract,> RM150 plan,Save up to,"RM1,260",with Yes 5G,,,,
iPhone 16 Plus 512GB,Retailer M,-,"5,999","5,999",99,,"5,999",No Contract,> RM150 plan,Save up to,"RM1,260",with Yes 5G,,,,
iPhone 16 Plus 512GB,Yes 5G,Infinite Cashback Premium 118,"5,999","5,999",118,"1,995","4,004",No Contract,> RM150 plan,,,,,,,
iPhone 16 Plus 512GB,Retailer A,-,"5,999","5,999",120,,"5,999",No Contract,> RM150 plan,Save up to,"RM1,995",with Yes 5G,,,,
iPhone 16 Plus 512GB,Retailer S,-,"5,999","5,999",120,,"5,999",No Contract,> RM150 plan,Save up to,"RM1,995",with Yes 5G,,,,
iPhone 16 Plus 512GB,Retailer M,-,"5,999","5,999",120,,"5,999",No Contract,> RM150 plan,Save up to,"RM1,995",with Yes 5G,,,,
iPhone 16 Plus 512GB,Yes 5G,Infinite Cashback Ultra 178,"5,999","5,999",178,"3,570","2,429",No Contract,> RM150 plan,,,,,,,
iPhone 16 Plus 512GB,Retailer A,-,"5,999","5,999",180,,"5,999",No Contract,> RM150 plan,Save up to,"RM3,570",with Yes 5G,,,,
iPhone 16 Plus 512GB,Retailer S,-,"5,999","5,999",180,,"5,999",No Contract,> RM150 plan,Save up to,"RM3,570",with Yes 5G,,,,
iPhone 16 Plus 512GB,Retailer M,-,"5,999","5,999",180,,"5,999",No Contract,> RM150 plan,Save up to,"RM3,570",with Yes 5G,,,,
iPhone 16 Pro 128GB,Yes 5G,Infinite Cashback Basic 58,"4,999","4,999",58,560,"4,439",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 128GB,Yes 5G,Infinite Cashback Standard 88,"4,999","4,999",88,"1,190","3,809",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 128GB,Retailer A,-,"4,999","4,999",99,,"4,999",No Contract,> RM150 plan,Save up to,"RM1,190",with Yes 5G,,,,
iPhone 16 Pro 128GB,Retailer S,-,"4,999","4,999",99,,"4,999",No Contract,> RM150 plan,Save up to,"RM1,190",with Yes 5G,,,,
iPhone 16 Pro 128GB,Retailer M,-,"4,999","4,999",99,,"4,999",No Contract,> RM150 plan,Save up to,"RM1,190",with Yes 5G,,,,
iPhone 16 Pro 128GB,Yes 5G,Infinite Cashback Premium 118,"4,999","4,999",118,"1,890","3,109",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 128GB,Retailer A,-,"4,999","4,999",120,,"4,999",No Contract,> RM150 plan,Save up to,"RM1,890",with Yes 5G,,,,
iPhone 16 Pro 128GB,Retailer S,-,"4,999","4,999",120,,"4,999",No Contract,> RM150 plan,Save up to,"RM1,890",with Yes 5G,,,,
iPhone 16 Pro 128GB,Retailer M,-,"4,999","4,999",120,,"4,999",No Contract,> RM150 plan,Save up to,"RM1,890",with Yes 5G,,,,
iPhone 16 Pro 128GB,Yes 5G,Infinite Cashback Ultra 178,"4,999","4,999",178,"3,675","1,324",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 128GB,Retailer A,-,"4,999","4,999",180,,"4,999",No Contract,> RM150 plan,Save up to,"RM3,675",with Yes 5G,,,,
iPhone 16 Pro 128GB,Retailer S,-,"4,999","4,999",180,,"4,999",No Contract,> RM150 plan,Save up to,"RM3,675",with Yes 5G,,,,
iPhone 16 Pro 128GB,Retailer M,-,"4,999","4,999",180,,"4,999",No Contract,> RM150 plan,Save up to,"RM3,675",with Yes 5G,,,,
iPhone 16 Pro 256GB,Yes 5G,Infinite Cashback Basic 58,"5,499","5,499",58,595,"4,904",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 256GB,Yes 5G,Infinite Cashback Standard 88,"5,499","5,499",88,"1,225","4,274",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 256GB,Retailer A,-,"5,499","5,499",99,,"5,499",No Contract,> RM150 plan,Save up to,"RM1,225",with Yes 5G,,,,
iPhone 16 Pro 256GB,Retailer S,-,"5,499","5,499",99,,"5,499",No Contract,> RM150 plan,Save up to,"RM1,225",with Yes 5G,,,,
iPhone 16 Pro 256GB,Retailer M,-,"5,499","5,499",99,,"5,499",No Contract,> RM150 plan,Save up to,"RM1,225",with Yes 5G,,,,
iPhone 16 Pro 256GB,Yes 5G,Infinite Cashback Premium 118,"5,499","5,499",118,"1,925","3,574",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 256GB,Retailer A,-,"5,499","5,499",120,,"5,499",No Contract,> RM150 plan,Save up to,"RM1,925",with Yes 5G,,,,
iPhone 16 Pro 256GB,Retailer S,-,"5,499","5,499",120,,"5,499",No Contract,> RM150 plan,Save up to,"RM1,925",with Yes 5G,,,,
iPhone 16 Pro 256GB,Retailer M,-,"5,499","5,499",120,,"5,499",No Contract,> RM150 plan,Save up to,"RM1,925",with Yes 5G,,,,
iPhone 16 Pro 256GB,Yes 5G,Infinite Cashback Ultra 178,"5,499","5,499",178,"3,500","1,999",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 256GB,Retailer A,-,"5,499","5,499",180,,"5,499",No Contract,> RM150 plan,Save up to,"RM3,500",with Yes 5G,,,,
iPhone 16 Pro 256GB,Retailer S,-,"5,499","5,499",180,,"5,499",No Contract,> RM150 plan,Save up to,"RM3,500",with Yes 5G,,,,
iPhone 16 Pro 256GB,Retailer M,-,"5,499","5,499",180,,"5,499",No Contract,> RM150 plan,Save up to,"RM3,500",with Yes 5G,,,,
iPhone 16 Pro 512GB,Yes 5G,Infinite Cashback Basic 58,"6,499","6,499",58,700,"5,799",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 512GB,Yes 5G,Infinite Cashback Standard 88,"6,499","6,499",88,"1,330","5,169",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 512GB,Retailer A,-,"6,499","6,499",99,,"6,499",No Contract,> RM150 plan,Save up to,"RM1,330",with Yes 5G,,,,
iPhone 16 Pro 512GB,Retailer S,-,"6,499","6,499",99,,"6,499",No Contract,> RM150 plan,Save up to,"RM1,330",with Yes 5G,,,,
iPhone 16 Pro 512GB,Retailer M,-,"6,499","6,499",99,,"6,499",No Contract,> RM150 plan,Save up to,"RM1,330",with Yes 5G,,,,
iPhone 16 Pro 512GB,Yes 5G,Infinite Cashback Premium 118,"6,499","6,499",118,"2,030","4,469",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 512GB,Retailer A,-,"6,499","6,499",120,,"6,499",No Contract,> RM150 plan,Save up to,"RM2,030",with Yes 5G,,,,
iPhone 16 Pro 512GB,Retailer S,-,"6,499","6,499",120,,"6,499",No Contract,> RM150 plan,Save up to,"RM2,030",with Yes 5G,,,,
iPhone 16 Pro 512GB,Retailer M,-,"6,499","6,499",120,,"6,499",No Contract,> RM150 plan,Save up to,"RM2,030",with Yes 5G,,,,
iPhone 16 Pro 512GB,Yes 5G,Infinite Cashback Ultra 178,"6,499","6,499",178,"3,605","2,894",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 512GB,Retailer A,-,"6,499","6,499",180,,"6,499",No Contract,> RM150 plan,Save up to,"RM3,605",with Yes 5G,,,,
iPhone 16 Pro 512GB,Retailer S,-,"6,499","6,499",180,,"6,499",No Contract,> RM150 plan,Save up to,"RM3,605",with Yes 5G,,,,
iPhone 16 Pro 512GB,Retailer M,-,"6,499","6,499",180,,"6,499",No Contract,> RM150 plan,Save up to,"RM3,605",with Yes 5G,,,,
iPhone 16 Pro 1TB,Yes 5G,Infinite Cashback Basic 58,"7,499","7,499",58,770,"6,729",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 1TB,Yes 5G,Infinite Cashback Standard 88,"7,499","7,499",88,"1,400","6,099",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 1TB,Retailer A,-,"7,499","7,499",99,,"7,499",No Contract,> RM150 plan,Save up to,"RM1,400",with Yes 5G,,,,
iPhone 16 Pro 1TB,Retailer S,-,"7,499","7,499",99,,"7,499",No Contract,> RM150 plan,Save up to,"RM1,400",with Yes 5G,,,,
iPhone 16 Pro 1TB,Retailer M,-,"7,499","7,499",99,,"7,499",No Contract,> RM150 plan,Save up to,"RM1,400",with Yes 5G,,,,
iPhone 16 Pro 1TB,Yes 5G,Infinite Cashback Premium 118,"7,499","7,499",118,"2,065","5,434",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 1TB,Retailer A,-,"7,499","7,499",120,,"7,499",No Contract,> RM150 plan,Save up to,"RM2,065",with Yes 5G,,,,
iPhone 16 Pro 1TB,Retailer S,-,"7,499","7,499",120,,"7,499",No Contract,> RM150 plan,Save up to,"RM2,065",with Yes 5G,,,,
iPhone 16 Pro 1TB,Retailer M,-,"7,499","7,499",120,,"7,499",No Contract,> RM150 plan,Save up to,"RM2,065",with Yes 5G,,,,
iPhone 16 Pro 1TB,Yes 5G,Infinite Cashback Ultra 178,"7,499","7,499",178,"3,710","3,789",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro 1TB,Retailer A,-,"7,499","7,499",180,,"7,499",No Contract,> RM150 plan,Save up to,"RM3,710",with Yes 5G,,,,
iPhone 16 Pro 1TB,Retailer S,-,"7,499","7,499",180,,"7,499",No Contract,> RM150 plan,Save up to,"RM3,710",with Yes 5G,,,,
iPhone 16 Pro 1TB,Retailer M,-,"7,499","7,499",180,,"7,499",No Contract,> RM150 plan,Save up to,"RM3,710",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Yes 5G,Infinite Cashback Basic 58,"5,999","5,999",58,630,"5,369",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro Max 256GB,Yes 5G,Infinite Cashback Standard 88,"5,999","5,999",88,"1,260","4,739",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro Max 256GB,Retailer A,-,"5,999","5,999",99,,"5,999",No Contract,> RM150 plan,Save up to,"RM1,260",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Retailer S,-,"5,999","5,999",99,,"5,999",No Contract,> RM150 plan,Save up to,"RM1,260",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Retailer M,-,"5,999","5,999",99,,"5,999",No Contract,> RM150 plan,Save up to,"RM1,260",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Yes 5G,Infinite Cashback Premium 118,"5,999","5,999",118,"1,995","4,004",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro Max 256GB,Retailer A,-,"5,999","5,999",120,,"5,999",No Contract,> RM150 plan,Save up to,"RM1,995",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Retailer S,-,"5,999","5,999",120,,"5,999",No Contract,> RM150 plan,Save up to,"RM1,995",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Retailer M,-,"5,999","5,999",120,,"5,999",No Contract,> RM150 plan,Save up to,"RM1,995",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Yes 5G,Infinite Cashback Ultra 178,"5,999","5,999",178,"3,570","2,429",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro Max 256GB,Retailer A,-,"5,999","5,999",180,,"5,999",No Contract,> RM150 plan,Save up to,"RM3,570",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Retailer S,-,"5,999","5,999",180,,"5,999",No Contract,> RM150 plan,Save up to,"RM3,570",with Yes 5G,,,,
iPhone 16 Pro Max 256GB,Retailer M,-,"5,999","5,999",180,,"5,999",No Contract,> RM150 plan,Save up to,"RM3,570",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Yes 5G,Infinite Cashback Basic 58,"6,999","6,999",58,735,"6,264",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro Max 512GB,Yes 5G,Infinite Cashback Standard 88,"6,999","6,999",88,"1,365","5,634",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro Max 512GB,Retailer A,-,"6,999","6,999",99,,"6,999",No Contract,> RM150 plan,Save up to,"RM1,365",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Retailer S,-,"6,999","6,999",99,,"6,999",No Contract,> RM150 plan,Save up to,"RM1,365",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Retailer M,-,"6,999","6,999",99,,"6,999",No Contract,> RM150 plan,Save up to,"RM1,365",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Yes 5G,Infinite Cashback Premium 118,"6,999","6,999",118,"2,065","4,934",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro Max 512GB,Retailer A,-,"6,999","6,999",120,,"6,999",No Contract,> RM150 plan,Save up to,"RM2,065",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Retailer S,-,"6,999","6,999",120,,"6,999",No Contract,> RM150 plan,Save up to,"RM2,065",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Retailer M,-,"6,999","6,999",120,,"6,999",No Contract,> RM150 plan,Save up to,"RM2,065",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Yes 5G,Infinite Cashback Ultra 178,"6,999","6,999",178,"3,640","3,359",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro Max 512GB,Retailer A,-,"6,999","6,999",180,,"6,999",No Contract,> RM150 plan,Save up to,"RM3,640",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Retailer S,-,"6,999","6,999",180,,"6,999",No Contract,> RM150 plan,Save up to,"RM3,640",with Yes 5G,,,,
iPhone 16 Pro Max 512GB,Retailer M,-,"6,999","6,999",180,,"6,999",No Contract,> RM150 plan,Save up to,"RM3,640",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Yes 5G,Infinite Cashback Basic 58,"7,999","7,999",58,805,"7,194",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro Max 1TB,Yes 5G,Infinite Cashback Standard 88,"7,999","7,999",88,"1,435","6,564",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro Max 1TB,Retailer A,-,"7,999","7,999",99,,"7,999",No Contract,> RM150 plan,Save up to,"RM1,435",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Retailer S,-,"7,999","7,999",99,,"7,999",No Contract,> RM150 plan,Save up to,"RM1,435",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Retailer M,-,"7,999","7,999",99,,"7,999",No Contract,> RM150 plan,Save up to,"RM1,435",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Yes 5G,Infinite Cashback Premium 118,"7,999","7,999",118,"2,135","5,864",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro Max 1TB,Retailer A,-,"7,999","7,999",120,,"7,999",No Contract,> RM150 plan,Save up to,"RM2,135",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Retailer S,-,"7,999","7,999",120,,"7,999",No Contract,> RM150 plan,Save up to,"RM2,135",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Retailer M,-,"7,999","7,999",120,,"7,999",No Contract,> RM150 plan,Save up to,"RM2,135",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Yes 5G,Infinite Cashback Ultra 178,"7,999","7,999",178,"3,745","4,254",No Contract,> RM150 plan,,,,,,,
iPhone 16 Pro Max 1TB,Retailer A,-,"7,999","7,999",180,,"7,999",No Contract,> RM150 plan,Save up to,"RM3,745",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Retailer S,-,"7,999","7,999",180,,"7,999",No Contract,> RM150 plan,Save up to,"RM3,745",with Yes 5G,,,,
iPhone 16 Pro Max 1TB,Retailer M,-,"7,999","7,999",180,,"7,999",No Contract,> RM150 plan,Save up to,"RM3,745",with Yes 5G,,,,